freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.117e+01,1.565e+02,4.530e+02,6.207e+02
1.5,1.363e+01,1.070e+02,2.579e+02,3.785e+02
3.0,9.089e+00,1.940e+01,1.653e+01,4.502e+01
4.5,9.721e+00,1.708e+01,2.706e+02,2.974e+02
6.0,9.833e+00,2.378e+01,1.182e+03,1.216e+03
7.5,1.097e+01,3.176e+01,2.038e+03,2.081e+03
9.0,1.020e+01,4.260e+01,2.999e+03,3.052e+03
10.5,9.653e+00,5.400e+01,4.271e+03,4.335e+03
12.0,1.029e+01,7.069e+01,5.969e+03,6.050e+03
13.5,1.121e+01,9.866e+01,8.398e+03,8.508e+03
15.0,1.215e+01,1.448e+02,1.115e+04,1.131e+04
16.5,1.380e+01,1.567e+02,1.094e+04,1.111e+04
18.0,1.468e+01,1.884e+02,1.041e+04,1.061e+04
19.5,2.045e+01,6.271e+02,1.405e+04,1.470e+04
21.0,2.427e+01,1.282e+03,1.958e+04,2.089e+04
22.5,2.023e+01,1.019e+03,2.652e+04,2.756e+04
24.0,1.988e+01,3.408e+02,3.663e+04,3.699e+04
25.5,2.009e+01,1.946e+02,4.784e+04,4.806e+04
27.0,4.718e+01,2.641e+02,6.117e+04,6.149e+04
28.5,1.712e+02,6.848e+02,7.272e+04,7.358e+04
30.0,6.491e+02,1.768e+03,7.220e+04,7.462e+04
31.5,1.767e+03,1.135e+03,7.421e+04,7.712e+04
33.0,2.177e+03,8.141e+02,8.344e+04,8.643e+04
34.5,1.236e+03,1.976e+03,9.555e+04,9.876e+04
36.0,4.137e+02,4.660e+03,1.275e+05,1.326e+05
37.5,2.387e+02,8.098e+03,1.858e+05,1.942e+05
39.0,3.608e+02,1.334e+04,3.021e+05,3.158e+05
40.5,1.400e+03,4.694e+04,6.501e+05,6.984e+05
42.0,7.427e+03,1.290e+05,1.282e+06,1.418e+06
43.5,2.053e+04,1.880e+05,1.555e+06,1.763e+06
45.0,2.965e+04,1.918e+05,1.394e+06,1.615e+06
46.5,2.299e+04,1.512e+05,1.115e+06,1.289e+06
48.0,1.346e+04,1.084e+05,8.525e+05,9.743e+05
49.5,7.601e+03,9.078e+04,6.209e+05,7.193e+05
